lago,fecha,chl_promedio,chl_std,ndvi_promedio,ndwi_promedio,ndci_promedio,pct_pixeles_agua,archivo,es_pico
Amatitlán,2025-01-28,14.567988,107.91117,-0.29515642,0.58313566,0.26378745,9.286998,amatitlan_2025-01-28.tif,False
Amatitlán,2025-04-15,8.022193,6.7059937,-0.09379175,0.28988865,0.13256824,10.3518505,amatitlan_2025-04-15.tif,False
Amatitlán,2025-04-28,13.287254,14.433882,-0.052950177,0.28558955,0.18790868,10.505004,amatitlan_2025-04-28.tif,False
Amatitlán,2025-11-24,13.603077,19.87786,-0.34259707,0.5055918,0.21120515,9.741805,amatitlan_2025-11-24.tif,False
Amatitlán,2026-01-08,23.804863,140.13821,-0.07130942,0.349074,0.31206104,10.674354,amatitlan_2026-01-08.tif,False
Amatitlán,2026-02-02,6.74173,3.4203305,-0.12428903,0.27547088,0.1645659,2.2571204,amatitlan_2026-02-02.tif,False
Amatitlán,2026-02-07,7.8760977,3.8267925,-0.16466308,0.37537277,0.19202845,5.730964,amatitlan_2026-02-07.tif,False
Amatitlán,2026-03-29,15.232273,13.945169,-0.06582315,0.3123139,0.25723532,10.992447,amatitlan_2026-03-29.tif,False
Amatitlán,2026-04-13,16.630243,9.652182,-0.025557544,0.28311536,0.28736234,11.491516,amatitlan_2026-04-13.tif,False
Amatitlán,2026-04-28,25.92412,26.989935,0.030207016,0.26927862,0.26221308,10.930143,amatitlan_2026-04-28.tif,False
Amatitlán,2026-06-19,63.993996,34.277554,-0.09121292,0.49798232,0.45791215,10.686703,amatitlan_2026-06-19.tif,True
Atitlán,2025-01-18,1492.1246,769426.6,1.0284777,1.1574427,0.18646292,23.254852,atitlan_2025-01-18.tif,True
Atitlán,2025-04-13,2.870466,2.4301205,-0.046419837,0.36579084,-0.031540647,24.009912,atitlan_2025-04-13.tif,False
Atitlán,2025-05-13,3.1742373,6.0132527,-0.06780903,0.39314574,-0.014516838,21.213043,atitlan_2025-05-13.tif,False
Atitlán,2025-07-17,-6.359355,7603.7295,0.0038690383,0.42247003,0.012794245,22.385862,atitlan_2025-07-17.tif,False
Atitlán,2025-11-21,-1825.4364,502770.7,0.39799154,0.7957316,-0.065159604,21.90472,atitlan_2025-11-21.tif,False
Atitlán,2025-12-29,85.64834,216615.23,0.14531246,0.58398205,-0.04766453,22.663052,atitlan_2025-12-29.tif,False
Atitlán,2026-02-12,-147.60828,531849.06,0.37475133,0.8261268,0.014892748,22.76543,atitlan_2026-02-12.tif,False
Atitlán,2026-03-24,4.1601152,952.51544,-0.13143265,0.46437162,-0.012368034,24.69596,atitlan_2026-03-24.tif,False
Atitlán,2026-04-13,-33.472717,12615.463,-0.022780567,0.30065563,-0.0014035326,12.025065,atitlan_2026-04-13.tif,False
Atitlán,2026-04-28,2.9201248,2.52993,-0.08430655,0.33886698,-0.027517043,18.461588,atitlan_2026-04-28.tif,False
Atitlán,2026-07-22,3.512073,33.951153,-0.07232095,0.4697385,0.005797387,22.589235,atitlan_2026-07-22.tif,False
