lago,fecha,n,pearson_ndvi,spearman_ndvi,pearson_ndwi,spearman_ndwi
Amatitlán,2025-01-28,20000,-0.0783203,-0.15377913123981235,0.18872288,0.245851380827425
Amatitlán,2025-04-15,20000,0.7453607,0.8463974131243728,-0.4531066,-0.6791203626049986
Amatitlán,2025-04-28,20000,0.8283534,0.8598890047062818,-0.68862975,-0.8097478293398378
Amatitlán,2025-11-24,20000,0.71065444,0.6216625300147643,-0.6793959,-0.505645203654508
Amatitlán,2026-01-08,20000,0.7280221,0.6120942696246054,-0.7324649,-0.5241566778428255
Amatitlán,2026-02-02,20000,0.19940239,0.13724747609075966,0.12675765,0.1502697753062159
Amatitlán,2026-02-07,20000,0.14594309,0.06331746005604934,-0.023327924,-0.006426479437657912
Amatitlán,2026-03-29,20000,0.8364515,0.5716988326386407,-0.7034799,-0.39138128824811963
Amatitlán,2026-04-13,20000,0.5983722,0.5848914758635892,0.07469913,0.12072028375845124
Amatitlán,2026-04-28,20000,0.91981876,0.9155080092560978,-0.8953762,-0.8872568436318878
Amatitlán,2026-06-19,20000,0.7187362,0.7066644837672277,-0.56050855,-0.49419567593488445
Atitlán,2025-01-18,20000,0.38645986,0.603282474342513,-0.03474512,-0.009456204518325472
Atitlán,2025-04-13,20000,0.5778982,0.5357697892189123,-0.5176367,-0.40110936135296416
Atitlán,2025-05-13,20000,0.670773,0.6179249412458291,-0.48216528,-0.3311337505403702
Atitlán,2025-07-17,20000,0.31218427,0.5484460310804726,-0.17045984,-0.12491176406416828
Atitlán,2025-11-21,20000,0.37893143,0.5119342043446012,-0.020660423,-0.10142776721943264
Atitlán,2025-12-29,20000,0.3465519,0.579994969864832,-0.06061308,-0.22444886283028032
Atitlán,2026-02-12,20000,0.30963188,0.5287180495876581,0.0047196066,-0.1621949842140424
Atitlán,2026-03-24,20000,0.56044376,0.5784470284646697,-0.46509194,-0.36396661947712233
Atitlán,2026-04-13,20000,0.53149736,0.534362964791571,-0.38749394,-0.23292177644292547
Atitlán,2026-04-28,20000,0.70505774,0.648812334869034,-0.5547632,-0.4659804997211813
Atitlán,2026-07-22,20000,0.43677276,0.5543118273546125,-0.3278298,-0.21720663938752766
