lago,fecha,px_agua,px_analizables,pct_px_validos,area_analizada_km2,chl_mediana,chl_promedio,chl_p90,chl_max,ndci_mediana,ndvi_mediana,ndwi_mediana,pct_area_alta,pct_area_muy_alta,area_alta_km2,temporada,pct_lago_cubierto,calidad_ok
Amatitlán,2025-01-28,115820,115109,99.38611638749784,11.5109,12.160818099975586,14.49305248260498,25.37322235107422,149.90086364746094,0.265625,-0.32203391194343567,0.5692307949066162,64.39114230859447,10.431851549401003,7.412,Seca,80.32168027353289,True
Amatitlán,2025-04-15,129100,129097,99.99767621998451,12.9097,4.8961405754089355,8.035409927368164,15.124809265136719,91.49842071533203,0.08165997266769409,-0.11270983517169952,0.29567307233810425,20.757260044772536,3.482652579068452,2.6797,Seca,90.08233898541623,True
Amatitlán,2025-04-28,131010,131006,99.99694679795435,13.1006,5.652082443237305,13.307509422302246,31.278926849365234,159.76708984375,0.145776629447937,-0.09740259498357773,0.29141104221343994,39.053936460925456,14.460406393600293,5.1163,Seca,91.41441630032796,True
Amatitlán,2025-11-24,121492,121485,99.99423830375663,12.1485,6.90904426574707,13.629471778869629,28.507516860961914,270.7613830566406,0.1882352977991104,-0.3777777850627899,0.5222222208976746,31.41951681277524,11.72161172161172,3.817,Seca,84.77077663805737,True
Amatitlán,2026-01-08,133122,133118,99.99699523745136,13.3118,16.267093658447266,24.268611907958984,47.1160774230957,237.38743591308594,0.300420343875885,-0.1135135143995285,0.39534884691238403,80.54958758394808,29.81264742559233,10.7226,Seca,92.88814458167609,True
Amatitlán,2026-02-02,28149,28145,99.9857899037266,2.8145,6.375263690948486,6.82645320892334,9.256294250488281,26.00640869140625,0.1735537201166153,-0.12062256783246994,0.2734082341194153,6.946171611298632,0.010659086871558003,0.1955,Seca,19.63924359779499,False
Amatitlán,2026-02-07,71472,71454,99.97481531229013,7.1454,7.062009811401367,7.901184558868408,11.102518081665039,97.1358413696289,0.19191919267177582,-0.15942029654979706,0.3627118766307831,14.242729588266577,0.46603409186329664,1.0177,Seca,49.859744609587615,False
Amatitlán,2026-03-29,137089,137076,99.99051710932314,13.7076,10.457378387451172,15.247383117675781,28.50514793395996,144.90159606933594,0.24701717495918274,-0.08346457034349442,0.32242539525032043,53.23616096180221,12.22679389535732,7.2974,Seca,95.64998953317982,True
Amatitlán,2026-04-13,143313,143310,99.9979066797848,14.331,14.09024715423584,16.640766143798828,28.011106491088867,134.1107635498047,0.28332215547561646,-0.030154848471283913,0.2874111831188202,81.81983113530109,13.387063010257483,11.7256,Seca,100.0,True
Amatitlán,2026-04-28,136312,136312,100.0,13.6312,14.046943664550781,25.928638458251953,67.99674224853516,142.3712158203125,0.2829548120498657,0.02654867246747017,0.25040918588638306,53.073830623862904,36.73704442748988,7.2346,Seca,95.11687949201033,True
Amatitlán,2026-06-19,133276,133131,99.89120321738348,13.3131,63.69355773925781,64.0984115600586,106.93267822265625,281.5276794433594,0.4793814420700073,-0.07999999821186066,0.4952380955219269,97.13064575493311,86.45769955908091,12.9311,Lluviosa,92.8972158258321,True
Atitlán,2025-01-18,1123444,256334,22.816802617664965,25.6334,0.0,17.778310775756836,62.802677154541016,300.0,-0.20000000298023224,0.3333333432674408,0.7346938848495483,18.16848330693548,12.045612365117385,4.6572,Seca,21.498596444437737,False
Atitlán,2025-04-13,1159921,1159913,99.9993102978565,115.9913,3.389371871948242,3.0581719875335693,4.238604545593262,136.2247314453125,-0.02777777798473835,-0.0394265241920948,0.3627760112285614,0.018880726399307535,0.0033623211396027115,0.0219,Seca,97.28128729570444,True
Atitlán,2025-05-13,1024804,1024788,99.99843872584417,102.4788,3.8570775985717773,3.4789841175079346,4.565016746520996,74.81576538085938,-0.010238908231258392,-0.05263157933950424,0.4063604176044464,0.0581583703165923,0.008782304242438437,0.0596,Lluviosa,85.94842530878643,True
Atitlán,2025-07-17,1081463,1078391,99.71594035117243,107.8391,4.320167541503906,4.036381244659424,4.961187839508057,300.0,0.015075377188622952,-0.0023752970155328512,0.4054054021835327,0.6514334782096661,0.23164139908437661,0.7025,Lluviosa,90.44408045094936,True
Atitlán,2025-11-21,1058219,965546,91.24254998256505,96.5546,3.5789146423339844,6.662298679351807,9.749707221984863,300.0,-0.021276595070958138,0.0,0.7054263353347778,9.767944769073663,4.351838234532586,9.4314,Seca,80.97983023142102,True
Atitlán,2025-12-29,1094854,1044787,95.42706150774441,104.4787,2.1746273040771484,3.1466102600097656,5.303676128387451,300.0,-0.05882352963089943,0.06666667014360428,0.5205479264259338,2.8538831359884838,0.9107119441570386,2.9817,Seca,87.62573081758475,True
Atitlán,2026-02-12,1099800,916121,83.29887252227678,91.6121,3.6942577362060547,3.9210963249206543,5.688404083251953,300.0,-0.016949152573943138,0.0,0.5724138021469116,3.2478242502900816,0.9832762266119869,2.9754,Seca,76.8345817303781,True
Atitlán,2026-03-24,1193064,1192329,99.93839391683933,119.2329,3.8452725410461426,3.4589478969573975,4.651945114135742,224.60879516601562,-0.01075268816202879,-0.10843373835086823,0.4412955343723297,0.06751492247525641,0.02105123669725386,0.0805,Seca,100.0,True
Atitlán,2026-04-13,580932,580471,99.92064475704558,58.0471,4.138270378112793,3.7317888736724854,4.74640417098999,101.90298461914062,0.0036630036775022745,-0.012738853693008423,0.2554347813129425,0.12593221711334415,0.019466950114648277,0.0731,Seca,48.683794489608154,False
Atitlán,2026-04-28,891881,891857,99.99730905804698,89.1857,3.518129825592041,3.155578851699829,4.343769550323486,37.11672592163086,-0.0234375,-0.07109005004167557,0.3489583432674408,0.034646809970656736,0.0015697583805475543,0.0309,Seca,74.79957293666429,True
Atitlán,2026-07-22,1091288,1091139,99.98634640901393,109.1139,4.212131977081299,3.8989477157592773,4.833966255187988,300.0,0.00800000037997961,-0.0486486479640007,0.48688048124313354,0.40407317491172073,0.21757081361769676,0.4409,Lluviosa,91.5132484406569,True
